ID,Name,City,Province,Website,Address,Specialization,Contact Person,Phone
1,Pak Emirates Military Hospital (PEMH),Rawalpindi,Punjab,-,"H2VV+F6R, Abid Majeed Road, Rawalpindi",Multi-Disciplinary,-,051-9273480
2,MedAsk Tours,Rawalpindi,Punjab,www.medasktours.com,"1st Floor AWT Plaza, Rawalpindi",Medical Tourism,Muhammad Hassaan,0319-6048487
3,Agha Khan University Hospital,Karachi,Sindh,https://hospitals.aku.edu/pakistan/karachi/pages/default.aspx,"Stadium Road, P. O. Box 3500 Karachi",Cardiology Dental Oncology Orthopedics Cosmetic Surgery,Ibrahim Mustafa,+92-302-8230979[email protected]
4,Shoukat Khanum M Hospital,Lahore,Punjab,https://shoukatkhanum.org.pk,"7-A, Block R-3, MA Johar Town, Lahore, Pakistan",Cancer Treatment,Dr. Ahsan Malik,+92-310-5338444[email protected]
5,Shoukat Khanum M Hospital,Peshawar,KPK,https://shoukatkhanum.org.pk,"5-B, Sector A2, Phase 5 Hayatabad, Peshawar, Pakistan",Cancer Treatment,Dr. Ahsan Malik,+92-310-5338444[email protected]
6,Shifa International,Islamabad,Federal Capital,Https://www.shifa.com.pk,"Pitras Bukhari Road, H-8/4, Islamabad Pakistan",Cardiology Dental Oncology Orthopedics Cosmetic Surgery Pulmonology Transplant,Dr. Abdul Wahid,+92-334-6600601[email protected]
7,E-Shifa,Islamabad,Federal Capital,Https://www.shifa.com.pk,"Pitras Bukhari Road, H-8/4, Islamabad Pakistan",Cardiology Dental Oncology Orthopedics Cosmetic Surgery Pulmonology Transplant,Dr. Abdul Wahid,+92-334-6600601[email protected]
8,All Medical Centre,Islamabad,Federal Capital,https://allmedical.org,"3-B, Kohistan Road, F-8 Markaz, Islamabad",General Surgery Neuro Surgery Obstetrics and Gynaecology Orthopedics Transplant,Mr. Jawad Sidique,+92-300-5033666[email protected]
9,Quaid-e-Azam International Hospital,Islamabad,Federal Capital,https://www.qih.com.pk,"Golra Mor, Peshawar Road, Islamabad",Cardiology Dental Orthopedics Transplant,Sadaqat Baig,+92-335-5100300[email protected]
10,Rehman Medical Institute,Peshawar,KPK,https://rmi.edu.pk,"5/B-2, Phase 5 Hayatabad, Peshawar",Cardiology Dental Orthopedics Transplant,Mohammad Rehman,+92-091-5838000[email protected]
11,Hameed Latif Hospital,Lahore,Punjab,https://www.hameedlatifhospital.com,"14, Abu Bakar Block New Garden Town, Lahore, Punjab",Cardiology Neuro Surgery Obstetrics and Gynaecology Orthopedics Cosmetic Surgery,Dr. Irfan,+92-321-1118318[email protected]
12,Hearts International,Rawalpindi,Punjab,,"192-A, The Mall Road, Rawalpindi, Punjab Pakistan",Cardiology General Surgery Obstetrics and Gynaecology Urology Radiology,Dr. Shahid Sultan,
13,Doctors Hospital,Lahore,Punjab,https://doctorshospital.com.pk,"152-G/1, Canal Bank Road, Johar Town, Block G-1, Phase 1, Johar Town, Lahore, Punjab, 54590",Cardiology General Surgery Pulmonology Gastroenlerology Medicines,Dr. Shahid Razzaque Qureshi,+92-321-4472050[email protected]
14,Kulsum International Hospital,Islamabad,Federal Capital,http://kih.com.pk,"Kalsum Plaza, Blue Area, Islamabad",Cardiology General Surgery Pulmonology,Dr. Muhammad Saleem Khan,+92-3455179964[email protected]
